loss,mae,val_loss,val_mae
808.5441284179688,18.615278244018555,54.819759368896484,5.9152445793151855
32.48757553100586,4.529170989990234,18.18724250793457,3.438136100769043
10.692215919494629,2.604985475540161,6.009591579437256,1.934849500656128
4.184647560119629,1.6148645877838135,3.1023690700531006,1.3681235313415527
2.5326900482177734,1.2588039636611938,2.213205575942993,1.1622127294540405
2.0454154014587402,1.1358511447906494,1.8321281671524048,1.0652745962142944
1.881277322769165,1.0916081666946411,1.6708505153656006,1.025394082069397
1.8311889171600342,1.077949047088623,1.6182379722595215,1.0157796144485474
1.8158879280090332,1.0737249851226807,1.6281254291534424,1.0237535238265991
1.8133320808410645,1.072705864906311,1.6489800214767456,1.0315601825714111
1.8125706911087036,1.0719270706176758,1.666343092918396,1.037731409072876
1.812994360923767,1.0715997219085693,1.6724382638931274,1.039449691772461
1.8116436004638672,1.0710749626159668,1.676135540008545,1.0398530960083008
1.8096461296081543,1.070414662361145,1.6819654703140259,1.0413223505020142
1.8066353797912598,1.0692188739776611,1.6811250448226929,1.0414056777954102
1.8037422895431519,1.0684946775436401,1.6817100048065186,1.0417442321777344
1.8010767698287964,1.0676560401916504,1.6831307411193848,1.0421921014785767
1.797566533088684,1.0666484832763672,1.6859456300735474,1.0430712699890137
1.7951836585998535,1.0658271312713623,1.6836572885513306,1.0427212715148926
1.7919620275497437,1.0647600889205933,1.6834412813186646,1.042907476425171
1.7907214164733887,1.0644115209579468,1.6847003698349,1.043204665184021
1.7887802124023438,1.063632607460022,1.6844632625579834,1.0432119369506836
1.7875539064407349,1.0633172988891602,1.6826777458190918,1.0426770448684692
1.7859971523284912,1.062794804573059,1.6834099292755127,1.0429147481918335
1.7841631174087524,1.0622683763504028,1.6856275796890259,1.0434907674789429
1.7829669713974,1.0619878768920898,1.683676838874817,1.0428625345230103
1.7819207906723022,1.0618259906768799,1.6824233531951904,1.0426902770996094
1.78038489818573,1.0613411664962769,1.6825309991836548,1.0428839921951294
1.7795239686965942,1.0609527826309204,1.6822561025619507,1.0428521633148193
1.7781492471694946,1.0605757236480713,1.6826508045196533,1.0428626537322998
1.7765812873840332,1.0600695610046387,1.6840587854385376,1.0433026552200317
1.7757689952850342,1.0600214004516602,1.6829197406768799,1.043087363243103
1.7750194072723389,1.0595858097076416,1.6824132204055786,1.0429764986038208
1.773119330406189,1.0589431524276733,1.6826982498168945,1.0432708263397217
1.7719234228134155,1.058582067489624,1.6819463968276978,1.0429785251617432
1.7708649635314941,1.0582706928253174,1.6802444458007812,1.042498230934143
1.7695026397705078,1.0578656196594238,1.6808799505233765,1.042811632156372
1.769175410270691,1.0576406717300415,1.6779301166534424,1.0418307781219482
1.768176794052124,1.057307481765747,1.6791012287139893,1.0422130823135376
1.7683255672454834,1.057411789894104,1.677890658378601,1.0418919324874878
1.7679696083068848,1.0573290586471558,1.677617073059082,1.0417343378067017
1.7667430639266968,1.0569063425064087,1.6759711503982544,1.041141152381897
1.7668040990829468,1.0569767951965332,1.6776442527770996,1.041683316230774
1.7659912109375,1.0566840171813965,1.6759576797485352,1.0411183834075928
1.7651989459991455,1.0563416481018066,1.6732960939407349,1.0400506258010864
1.76461923122406,1.0561015605926514,1.6738972663879395,1.0400667190551758
1.7643911838531494,1.056012511253357,1.6722382307052612,1.0395077466964722
1.763041615486145,1.0554792881011963,1.6721888780593872,1.039108157157898
1.7631136178970337,1.0556402206420898,1.6700270175933838,1.0383778810501099
1.7621228694915771,1.0552865266799927,1.6697438955307007,1.0383132696151733
